VideoID,Title,Description,Subject,Uploader,Rating,Views,Class,KeyWords,Language,URL
0,Understanding Newton's Laws of Motion in Hindi,Learn the basics of motion from your Class 10 NCERT book.,Physics,Physics Wallah,4.8,104035,10,"Newton's Laws, Motion, Physics, Class 10, NCERT, Hindi, NLM Class-9",Hindi,https://www.youtube.com/playlist?list=PLxoEuSWdHWsnL-p7hVvKb7rAvNzAzLrZm
1,Newton's Laws of Motion Class 10 in English,Learn the basics of motion from your For Board Exams in English,Physics,Byjus,4.7,34567,10,"Newton's Laws, Motion, Physics, Class 10, NCERT, English, NLM Class-9, Force and Laws",English,https://www.youtube.com/playlist?list=PLf0dYueVuajaoVjke862Whl5C9pMOclZp
2,Understanding Newton's Laws of Motion class 10 in Telugu,Learn the basics of motion from your For Board Exams in Telugu,Physics,Physics Wallah,5,24524,10,"Newton's Laws, Motion, Physics, Class 10, NCERT, Hindi, NLM Class-9",Telugu,https://www.youtube.com/watch?v=BRCk5KI04Dk
3,Understanding Newton's Laws of Motion class 10 in Malayalam,Learn the basics of motion from your For Board Exams in Malayalam,Physics,Mayas Classroom,4.9,34523,10,"Newton's Laws, Motion, Physics, Class 10, NCERT, Hindi, NLM Class-9, Forces and Laws",Malayalam,https://www.youtube.com/playlist?list=PL1YZaoAmfLVqnxp8XRbYjrHs5UHGOI7fc
4,Chemical Reactions: Balancing Equations in Telugu,Master the art of balancing equations in Chemistry in Telugu,Chemistry,Chemistry In Telugu,4.5,52423,10,"Chemical Reactions, Balancing Equations, Chemistry, Class 10 ",Telugu,https://www.youtube.com/watch?v=RzJjTS41b7g
5,Chemical Reactions: Balancing Equations in Hindi,Master the art of balancing equations in Chemistry in Hindi,Chemistry,Physics Wallah,4.9,205432,10,"Chemical Equations, Balancing Chemical Equations class11th",Hindi,https://www.youtube.com/watch?v=AVhOK75I748
6,Chemical Reactions: Balancing Equations in English,Master the art of balancing equations in Chemistry,Chemistry,Byjus,5,421000,10,"Balancing Chemical Equations, Chemistry, Class 10, NCERT ",English,https://www.youtube.com/watch?v=N7SbiJXUANo
7,Chemical Reactions: Balancing Equations in Malayalam,Master the art of balancing equations in Chemistry in Malayalam,Chemistry,Chemistry In Malayalam,4,6053,10,Balancing Chemical Eqation In Malayalam,Malayalam,https://www.youtube.com/watch?v=XGqEsnn0ysk
8,Literary Masterpieces: Shakespeare's Macbeth,Dive into Shakespearean drama with your NCERT English book.,English Literature,LitEnthusiast,4.9,2069,10,"Macbeth, Shakespeare, English Literature, Class 10 ",Hindi,https://www.youtube.com/watch?v=s9EvVZ80l84
9,Mathematics Made Easy: Quadratic Equations in Malayalam,Simplify quadratic equations as per the NCERT in Malayalam.,Mathematics,Fane Math Classes FMC,4.7,105467,10,"Quadratic Equations, Mathematics, Class 10, NCERT ",Malayalam,https://www.youtube.com/playlist?list=PLLerbssUuzEk1TrJwUVcNnaIH_SNzEXNn
10,Quadratic Equations in Hindi,Quadratic Equations for Class 10 th in English,Mathematics,Vedantu,4.2,490667,10,"Quadratic Equations, Mathematics, Class 10, NCERT , RD SHARMA, RS AGARWAL",English,https://www.youtube.com/playlist?list=PLVLoWQFkZbhV6ijXHD-LPbnhlIhcu8xxC
11,Quadratic Equations class 10 in English,Quadratic Equations for Class 10 th in Hindi,Mathematics,Physics Wallah,3.9,41985,10,"Quadratic Equations class 10, NCERT, CBSE",Hindi,https://www.youtube.com/playlist?list=PLco74IzIY3JICKEEwP0IGbw0cM8hn9gqt
12,Quadratic Equations in Hindi,Simplify quadratic equations as per the NCERT Math curriculum.,Chemistry,vedantu,3,3923,10,"Periodic Table, Chemistry, Class 10, NCERT ",English,https://www.youtube.com/playlist?list=PLVONEN7ojmy_HnwMU0qqtn3oL0cM1uuO_
13,Exploring the Periodic Table in Hindi,Understand the periodic table in Chemistry.,Chemistry,Chemistry Teach,4.6,64249,10,"Periodic Table, Chemistry, Class 10, NCERT ",Tamil,https://www.youtube.com/playlist?list=PLCaU4WJJKPiN366IP5-w2s7Zx1XAN2kEa
14,The World of Shakespearean Sonnets,Analyze Shakespearean sonnets from your NCERT English book.,English Literature,LitEnthusiast,4.8,2055,10,"Shakespearean Sonnets, English Literature, Class 10, NCERT ",English,https://www.youtube.com/playlist?list=PLD86B61F84C5561B8
15,Solving Linear Equations,Master linear equations as per the NCERT Math curriculum.,Mathematics,GREEN Board,4.9,4786209,10,"Linear Equations, Mathematics, Class 10, NCERT ",English,https://www.youtube.com/playlist?list=PLIlJ3MdWYpofKQIq4w_3RrMfFEdr0FYkZ
16,Lineaer Equations,Linear Equations Explained in Hindi for 11Th Borad Exams,Mathematics,Vedantu,5,729809,10,"Pair Of Linear Equations class10th, two vaiables, Rd Sharma",Hindi,https://www.youtube.com/playlist?list=PLVLoWQFkZbhU_AEQXFw5NhgR8XX_PCX3G
17,Introduction to Chemical Reactions,Get introduced to chemical reactions from your NCERT book.,Chemistry,Byjus,4.5,20004,10,Pair of Linear Equation In Two Variables CBSE Class 10 in English,English,https://www.youtube.com/playlist?list=PLVONEN7ojmy8YyrwOb9j5DFlvE-lemhEj
18,Chemical Reactions,Chemical Reactions,Chemistry,Fane Math Classes FMC,4.3,32436,10,"Pair of Linear Equations , 2 variables, two variables, class 10 cbse",Malayalam,https://www.youtube.com/playlist?list=PLLerbssUuzEkWSmgqju1sapzfZWrU2mxf
19,Macbeth's Character Analysis,Analyze the character of Macbeth from your NCERT English book.,English Literature,LitScholar,4.7,8765,10,"Macbeth, Character Analysis, English Literature, Class 10 ",Malyalam,https://www.youtube.com/watch?v=TB4VqMvuAgE
20,Understanding Energy and Work,Learn about energy and work in Physics according to NCERT.,Physics,Vedantu,4.8,165658,10,"Energy, Work, Physics, Class 10, ICSE CLASS 10 WORK POWER AND ENERGY",English,https://www.youtube.com/playlist?list=PLVONEN7ojmy8sMOYFz99APv8WXmWMEj_X
21,Work Power and Energy,Work Power and Energy explained in Hindi,Physics,Physics Wallah,4.7,572598,10,Work Power Energy in Hindi cbse icse class10th,Hindi,https://www.youtube.com/playlist?list=PLF_7kfnwLFCEtAxWxpFsh7uPA22Qmh6Va
22,Work Power and Energy,Work Power and Energy explained in Malayalam for Board Exams,Physics,Mayas Classroom,4.1,41466,10,"plus1 work, Power and Energy, WPE, class11th wpe, wpe boards",Malayalam,https://www.youtube.com/playlist?list=PL1YZaoAmfLVrIQJa80sIVMgNMnQkgsysQ
23,Balancing Chemical Equations,Dive deeper into balancing chemical equations in Chemistry.,Chemistry,Physics Wallah,4.6,42342,10,"Balancing Chemical Equations, Chemistry, Class 10, NCERT ",Hindi,https://www.youtube.com/watch?v=AVhOK75I748&t=834s
24,Poetry Analysis: Frost's 'The Road Not Taken',Analyze the poem from your NCERT English book.,English Literature,LitLovers,4.9,254232,10,"The Road Not Taken, Poetry Analysis, English Literature, Class 10 ",Malayalam,https://www.youtube.com/watch?v=Di7-LtdVGmM
25,Algebra Made Simple: Polynomials,Simplify polynomials as per your NCERT Math textbook.,Mathematics,Vedantu,5,2647792,10,"Polynomials, Algebra, Mathematics, Class 10, Class 10 Maths Chapter 2 Polynomials cbse, ICSE",English,https://www.youtube.com/playlist?list=PLIlJ3MdWYpod_sK1wNAxaAY6OclRSsNrG
26,Algebra Polynomials,Polynomials as per your NCERT Math textbook in Hindi,Mathematics,Physics Wallah,4.8,1116362,10,"Class10th Ploynomials, NCERT cbse Chapter 2, Polynomilas in Hindi",Hindi,https://www.youtube.com/playlist?list=PLVLoWQFkZbhWGDcCVRZlHzi_80neqiTgz
27,Polynomials,Polynomials as per your NCERT Math textbook in Malayalam,Mathematics,Mayas Classroom,4.4,26205,10,Polynomials class 10th cbse ncert in malayalam,Malayalam,https://www.youtube.com/playlist?list=PLhZySvk6a8sKYiJIoDgp4EgI1JWRO0TWM
28,Understanding Light and Reflection,Grasp the concepts of light and reflection in Physics.,Physics,Alpha Tutors,4.7,205457,10,"Light, Reflection, Physics, Class 10 , Reflection of Light in Malayalam",Malayalam,https://www.youtube.com/watch?v=KbA5BJGE0Mk
29,Reflection Of Light,Grasp the concepts of light and reflection in Physics.,Physics,Alpha Tutors,4.3,500343,10,Refelection Of Light in Malayalam class 10 cbse ncert,Malayalam,https://www.youtube.com/watch?v=Lvslpq7hx7A
30,Reflection ,Grasp the concepts of light and reflection in Physics.,Physics,Home Classes,4.4,272014,10,"Reflection of light, Refraction, reflection and refraction cbse and ncert",English,https://www.youtube.com/playlist?list=PLco74IzIY3JIHzbOgDMx-AIbv-mw0NsQ7
31,Optics and Reflection Of Light,Grasp the concepts of light and reflection in Physics.,Physics,Lets Think Another Way,4.6,21539,10,"Mughal Empire, History, Class 10, NCERT , Mughal Empire in Hindi",Hindi,https://www.youtube.com/watch?v=TKzIz6KUVj0
32,History Unveiled: The Mughal Empire,Explore the history of the Mughal Empire as per NCERT.,History,HistoryGeeks,4.6,19567,10,"Mughal Empire, History, Class 10, NCERT ",English,https://www.youtube.com/playlist?list=PLftQ4AvJG5Gdkli4PpNgU6ybzif1s5AmZ
